日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2016-01-04,5.60,5.62,5.21,5.23,-0.35,-6.27,447328,24555,7.35,0.27
2016-01-05,5.20,5.53,5.15,5.43,0.20,3.82,867079,46668,7.27,0.53
2016-01-06,5.44,5.97,5.39,5.97,0.54,9.94,2919012,170537,10.68,1.78
2016-01-07,5.85,5.86,5.37,5.38,-0.59,-9.88,525823,29560,8.21,0.32
2016-01-08,5.60,5.92,5.51,5.92,0.54,10.04,2243777,130637,7.62,1.37
2016-01-11,5.91,6.09,5.59,5.73,-0.19,-3.21,1823447,106217,8.45,1.11
2016-01-12,5.78,5.85,5.44,5.50,-0.23,-4.01,973215,54476,7.16,0.59
2016-01-13,5.54,6.05,5.47,5.73,0.23,4.18,1791305,105389,10.55,1.09
2016-01-14,5.46,6.15,5.23,6.04,0.31,5.41,2333598,136008,16.06,1.42
2016-01-15,5.88,5.99,5.70,5.86,-0.18,-2.98,1362963,79790,4.80,0.83
2016-01-18,5.74,6.06,5.66,5.84,-0.02,-0.34,1011962,59146,6.83,0.62
2016-01-19,5.80,6.04,5.58,6.02,0.18,3.08,1284901,75342,7.88,0.78
2016-01-20,5.88,5.92,5.55,5.66,-0.36,-5.98,1307543,74884,6.15,0.80
2016-01-21,5.51,5.70,5.39,5.40,-0.26,-4.59,904730,50133,5.48,0.55
2016-01-22,5.53,5.62,5.36,5.49,0.09,1.67,739221,40644,4.81,0.45
2016-01-25,5.56,5.78,5.51,5.63,0.14,2.55,832174,47054,4.92,0.51
2016-01-26,5.56,5.74,5.09,5.13,-0.50,-8.88,1126820,61714,11.55,0.69
2016-01-27,5.19,5.51,5.13,5.44,0.31,6.04,1069094,56651,7.41,0.65
2016-01-28,5.38,5.44,5.13,5.18,-0.26,-4.78,587658,31069,5.70,0.36
2016-01-29,5.18,5.30,5.09,5.21,0.03,0.58,791242,41062,4.05,0.48
2016-02-01,5.21,5.24,4.81,4.94,-0.27,-5.18,796821,40081,8.25,0.49
2016-02-02,4.88,5.04,4.88,4.95,0.01,0.20,699723,34690,3.24,0.43
2016-02-03,4.90,4.91,4.76,4.84,-0.11,-2.22,496567,23933,3.03,0.30
2016-02-04,4.89,4.93,4.84,4.90,0.06,1.24,436231,21321,1.86,0.27
2016-02-05,4.94,5.02,4.92,4.93,0.03,0.61,424322,21108,2.04,0.26
2016-02-15,4.82,4.87,4.76,4.83,-0.10,-2.03,385530,18588,2.23,0.23
2016-02-16,4.85,5.01,4.84,4.99,0.16,3.31,550373,27230,3.52,0.34
2016-02-17,4.97,5.10,4.94,5.06,0.07,1.40,543521,27378,3.21,0.33
2016-02-18,5.07,5.28,5.05,5.08,0.02,0.40,632381,32607,4.55,0.39
2016-02-19,5.08,5.16,5.01,5.04,-0.04,-0.79,440901,22397,2.95,0.27
2016-02-22,5.11,5.54,5.11,5.37,0.33,6.55,1286538,69040,8.53,0.78
2016-02-23,5.37,5.39,5.17,5.38,0.01,0.19,774115,40880,4.10,0.47
2016-02-24,5.34,5.47,5.28,5.42,0.04,0.74,545599,29332,3.53,0.33
2016-02-25,5.40,5.40,5.03,5.08,-0.34,-6.27,625657,32537,6.83,0.38
2016-02-26,5.10,5.29,5.06,5.23,0.15,2.95,511692,26509,4.53,0.31
2016-02-29,5.18,5.29,4.91,5.07,-0.16,-3.06,664221,33869,7.27,0.40
2016-03-01,5.13,5.16,5.00,5.13,0.06,1.18,398356,20374,3.16,0.24
2016-03-02,5.13,5.55,5.10,5.44,0.31,6.04,998911,53715,8.77,0.61
2016-03-03,5.37,5.46,5.33,5.37,-0.07,-1.29,646455,34834,2.39,0.39
2016-03-04,5.37,5.55,5.31,5.39,0.02,0.37,711210,38554,4.47,0.43
2016-03-07,5.67,5.91,5.56,5.60,0.21,3.90,900955,51107,6.49,0.55
2016-03-08,5.81,5.85,5.37,5.58,-0.02,-0.36,1123727,62945,8.57,0.68
2016-03-09,5.37,5.39,5.22,5.31,-0.27,-4.84,814789,43167,3.05,0.50
2016-03-10,5.34,5.38,5.16,5.18,-0.13,-2.45,612210,32113,4.14,0.37
2016-03-11,5.15,5.22,5.10,5.18,0.00,0.00,332132,17093,2.32,0.20
2016-03-14,5.22,5.34,5.18,5.26,0.08,1.54,576778,30431,3.09,0.35
